Zeit,CPU_Apache1,CPU_Apache2,CPU_Work,CPU_Haproxy,CPU_Redis,CPU_MariaDB,RAM_Apache1,RAM_Apache2,RAM_Work,RAM_Haproxy,RAM_Redis,RAM_MariaDB
18:43:19,0.11,0.12,0.15,0.03,0.11,103.89,42.02MiB,36.61MiB,32.94MiB,82.16MiB,13.88MiB,217.8MiB
18:44:03,0.11,0.11,0.11,0.03,0.10,105.03,42.02MiB,36.6MiB,32.94MiB,82.16MiB,13.88MiB,218.6MiB
18:44:46,0.12,0.11,0.12,0.00,0.10,107.60,42.02MiB,36.6MiB,32.94MiB,82.16MiB,13.88MiB,218.8MiB
18:45:30,0.10,0.11,0.13,0.00,0.14,104.55,42.02MiB,36.6MiB,32.94MiB,82.16MiB,13.88MiB,216.5MiB
18:46:13,0.13,0.11,0.13,0.03,0.11,104.67,42.02MiB,41.55MiB,32.91MiB,82.16MiB,13.85MiB,219.6MiB
18:46:57,0.15,0.13,0.20,0.02,0.14,104.38,42.02MiB,36.89MiB,32.91MiB,82.17MiB,13.84MiB,216.6MiB
18:47:41,0.12,0.12,0.13,0.00,0.10,102.98,42.02MiB,37MiB,32.91MiB,82.16MiB,13.84MiB,216.6MiB
18:48:24,0.12,0.11,0.13,0.00,0.10,101.04,42.02MiB,36.99MiB,32.91MiB,82.16MiB,13.84MiB,218.3MiB
18:49:08,0.13,0.11,0.13,0.02,0.11,103.91,42.02MiB,36.99MiB,32.91MiB,82.16MiB,13.84MiB,219.3MiB
18:49:51,0.12,0.11,0.12,0.02,0.12,103.91,42.02MiB,36.99MiB,32.91MiB,82.16MiB,13.83MiB,216.8MiB
18:50:35,0.11,0.11,0.14,0.00,0.12,104.72,42.02MiB,36.99MiB,32.91MiB,82.16MiB,13.8MiB,220MiB
18:51:19,0.13,0.11,0.12,0.18,0.10,105.03,42.02MiB,36.99MiB,32.91MiB,82.16MiB,13.77MiB,227.8MiB
18:52:02,0.11,0.13,0.15,0.03,0.10,102.93,42.02MiB,36.99MiB,32.9MiB,82.16MiB,13.77MiB,216.6MiB
18:52:46,0.10,0.11,0.13,0.02,0.10,103.54,42.02MiB,36.99MiB,32.9MiB,82.16MiB,13.77MiB,217.3MiB
18:53:29,0.13,0.12,0.12,0.00,0.10,103.94,42.02MiB,36.99MiB,32.9MiB,82.16MiB,13.77MiB,217.4MiB
