Zeit,CPU_Apache1,CPU_Apache2,CPU_Work,CPU_Haproxy,CPU_Redis,CPU_MariaDB
20:38:02,0.51,0.17,0.59,0.08,0.27,0.06
20:38:30,0.51,0.66,0.17,0.83,0.27,0.06
20:38:58,0.18,0.59,0.46,0.0,0.3,0.07
20:39:26,0.46,0.23,0.18,0.07,0.3,0.05
20:39:54,0.18,0.67,0.98,0.01,0.3,0.04
20:40:22,0.24,0.49,0.61,0.01,0.28,0.05
20:40:50,0.14,0.59,0.14,0.09,0.3,0.02
20:41:17,0.68,0.63,0.5,0.04,0.26,0.04
20:41:45,0.2,0.37,0.39,0.01,0.24,0.02
20:42:13,0.16,0.49,0.26,0.91,0.33,0.06
20:42:41,0.49,0.3,0.52,0.02,0.3,0.05
20:43:08,0.61,0.36,0.6,0.01,0.29,0.06
20:43:36,0.58,0.34,0.64,0.11,0.31,0.04
20:44:05,0.17,0.61,0.54,0.01,0.33,0.03
20:44:33,0.27,0.19,0.14,0.0,0.04,0.02
02:19:53,0.13,0.17,0.15,0.04,0.12,0.02
02:20:21,0.15,0.16,0.16,0.0,0.11,0.02
02:20:50,0.15,0.15,0.14,0.22,0.13,0.02
02:21:19,0.13,0.49,0.56,0.07,0.28,0.05
02:21:47,0.51,0.58,0.49,0.01,0.22,0.03
02:22:16,0.24,0.46,0.27,0.0,0.3,0.06
02:22:45,0.24,0.32,0.5,0.09,0.3,0.03
02:23:14,0.16,0.18,0.15,0.0,0.13,0.04
02:23:42,0.54,0.2,0.13,0.0,0.15,0.02
02:24:11,0.3,0.37,0.52,0.07,0.24,0.09
02:24:40,0.23,0.38,0.26,0.0,0.22,0.05
02:25:08,0.79,0.16,0.62,0.01,0.31,0.03
02:25:37,0.67,0.64,0.65,0.09,0.22,0.02
02:26:06,0.25,0.65,0.46,0.05,0.3,0.02
